Type,Name,PhysAbsorb,SlashAbsorb,StrikeAbsorb,ThrustAbsorb,MagicAbsorb,FireAbsorb,LightningAbsorb,DarkAbsorb,BleedRes,PoisonRes,FrostRes,CurseRes,Weight,Poise
Arms,Dancer's Gauntlets,2.8,3.2,2,3.1,2.2,1.7,2.4,2.6,15,12,20,9,2.4,2.1
Arms,Dark Gauntlets,3.5,3.2,2.6,3.1,2.6,2.2,1.4,2.6,12,9,10,4,3.2,2.3
Arms,Deserter Trousers,4.2,4.2,4.7,4.2,5,5,5.9,7,21,34,28,25,3.1,2.7
Arms,Dragonslayer Gauntlets,3.5,3.5,2.9,3.5,3.2,3.6,3.6,2.4,21,13,14,12,4.2,2.9
Arms,Drakeblood Armor Set,3.2,3.3,3.1,3,3,2.9,2.6,2.6,25,13,14,9,4.8,2.3
Arms,Drang Gauntlets,2.1,1.7,1.9,1.1,2,1.4,2.3,2,13,19,21,14,1.7,0.4
Arms,Eastern Gauntlets,2.8,3.3,2.2,2.5,1.8,3.1,1.5,1.8,25,9,11,7,2.9,2.5
Arms,Elite Knight Gauntlets,3.4,3.4,2.8,3.4,2.6,3,2,2.4,18,13,14,9,3.4,2.3
Arms,Evangelist Gloves,1.8,1.6,2.5,1.4,2.6,2.8,2.8,1.4,13,22,19,21,2.4,1
Arms,Executioner gauntlets,3.7,3.7,2.9,3.4,3.3,3.5,2.7,3.2,24,22,23,17,5.6,3.1
Arms,Exile Gauntlets,3.8,3.5,3.6,3.4,3.1,3.6,3.3,3.4,33,23,22,17,5.8,3.7
Arms,Fallen Knight Gauntlets,3.3,2.6,3.2,2.9,2.4,3.7,3,2.2,11,5,10,4,3.1,2
Arms,Faraam Gauntlets,3.3,3.2,3.4,3.1,2.9,3.3,3,3,21,16,22,11,4.8,2.8
Arms,Fire Keeper Gloves,0.8,1.1,0.9,0.7,3.1,3.3,2.9,3.6,9,15,11,23,1.3,0.2
Arms,Fire Witch Gauntlets,2.8,2.4,1.4,2.2,2.4,2.6,1.4,2.2,15,10,12,9,2.6,1.6
Arms,Firelink Gauntlets,2.3,2.7,2.1,1.9,3,3.3,3.1,2.5,21,13,14,12,2.7,2.9
Arms,Gauntlets of Favor,4.4,3.4,3.1,3.4,2.8,3,2,3,19,13,14,10,4.1,2.8
Arms,Gauntlets of Thorns,2.8,3.4,2.1,2.9,1.9,1.9,1.9,1.6,21,8,10,7,2.8,1.8
Arms,Golden Bracelets,1.7,1.5,1.9,0.9,1.7,2.3,1.7,1.7,10,18,16,13,1.5,0.4
Arms,Grave Warden Robe,4.1,8.1,3.1,4.8,9,9,9,3.6,63,59,13,51,3.6,1.3
Arms,Hard Leather Gauntlets,2.1,2.1,2.2,2.1,1.5,1.7,1,2,16,22,21,17,2,1.1
Arms,Havel's Gauntlets,4,3.8,3.6,3.6,3.5,4.1,3.2,3.5,24,23,23,20,9.4,3.9
Arms,Herald Gloves,3.1,3.1,2.1,2.9,1.7,2.1,0.7,1.5,16,12,12,8,2.9,1.6
Arms,Iron Bracelets,2.4,2.4,1.6,2.4,2.2,2.2,2,2.2,11,9,10,9,2.9,1.9
Arms,Jailer Gloves,1.7,1.7,0.7,1.1,2.7,2.6,2.2,2.7,10,15,13,32,1.6,0.1
Arms,Karla's Gloves,3.2,3.4,2.4,2.9,2.1,3.2,2.2,3.4,19,13,11,15,2.4,2.6
Arms,Knight Gauntlets,3.6,3.5,3,3.4,2.3,2.9,2.1,2.5,14,12,11,7,3.6,2.8
Arms,Leather gauntlets,2.2,2.9,2,2,3.2,2.6,3.2,3.3,18,18,16,16,2.5,1.3
Arms,Leather Gloves,1.4,1.4,1.4,1.4,1.9,2.1,2.3,1.9,11,18,17,13,1.5,0.3
Arms,Leonhard's Gauntlets,2.6,2.8,3,2.6,3.4,3.4,2.8,2.4,12,18,18,18,2.8,2.1
Arms,Lothric Knight Gauntlets,3.4,3.6,2.8,3.2,2.9,3.3,2.1,2.7,25,15,19,12,5,2.9
Arms,Maiden Gloves,0.9,0.9,1.1,0.8,3.5,3.3,3.4,3.5,8,14,11,26,1.3,0.3
Arms,Master's Gloves,0.4,0.4,0.4,0.3,1.9,1.5,1.7,1.9,14,22,9,26,0.3,0
Arms,Mirrah Chain Gloves,3.2,3.5,2.4,2.6,2.8,2.8,1.7,2.2,18,13,14,11,3.3,2.4
Arms,Mirrah Gloves,2.1,1.5,2.1,1.5,1.9,1.7,2.5,1.7,17,21,17,19,2.1,0.4
Arms,Morne's Gauntlets,3.3,3.2,3,3.1,3.1,3,3,1.5,21,12,18,11,5,2.4
Arms,Nameless Knight Gauntlets,3,3.3,2.6,2.9,2.1,3.1,2.3,2.1,19,10,9,6,2.8,2.2
Arms,Northern Gloves,2.2,2.2,2.8,2.2,0.8,2.5,2,0.8,15,19,24,19,2.3,1
Arms,Old Sorcerer Gauntlets,0.9,0.8,0.8,0.9,3.2,2.9,3.1,3.2,11,14,12,24,1.3,0.1
Arms,Outrider Knight Gauntlets,3.4,3.3,2.4,3.4,2.4,3,2.4,1.6,12,10,25,4,2.9,2.6
Arms,Painting Guardian Gloves,0.8,0.8,0.5,0.8,2.5,0.8,1.1,0.8,21,25,13,21,1.3,0.2
Arms,Pale Shade Gloves,1.2,1.2,1.2,1.1,3.6,3.3,3.1,3.2,9,17,8,21,1,0.8
Arms,Pontiff Knight Gauntlets,2.1,2.1,1.1,1.9,3.6,2.6,3.3,3.7,14,13,28,10,2.2,0.8
Arms,Pyromancer Wrap,1.5,0.9,1.5,1.3,3.5,3.6,3.5,3.6,6,14,11,22,1.5,1
Arms,Sellsword Gauntlet,1.4,0.8,1.4,1.6,0.6,0.8,0.8,0.6,15,10,11,8,1.4,0.3
Arms,Shadow Gauntlets,1.6,1.6,1.4,1.6,1.6,1.9,2.2,1.6,10,15,14,13,1.3,1.2
Arms,Silver Knight Gauntlets,3.5,3.6,2.9,3.6,2.9,2.8,2.5,2.5,22,18,17,14,4.7,2
Arms,Smough's Gauntlets,4.3,3.7,4.7,3.4,3.3,3.2,3.4,3.5,20,20,20,18,9.7,4.1
Arms,Sorcerer Gloves,1.3,1.3,1.3,1.1,3.5,3.3,3.4,3.5,8,13,10,23,1.3,0.8
Arms,Sunset Gauntlets,3.7,3.6,3.4,3.5,2.4,3,2.2,2.8,24,22,16,17,4.9,2.7
Arms,Undead Legion Gauntlet,2.3,1.2,2.3,2,2.9,3,3,2.3,16,20,24,17,2.4,1.1
Arms,Winged Knight Gauntlets,3.8,3.7,3.3,3.5,3.5,3.9,3.7,4.3,22,21,21,15,5.5,3.4
Arms,Wolf Knight Gauntlets,2.7,2.9,2.3,2.7,1.7,2.6,1.2,2.7,18,13,14,14,3.3,1.7
Arms,Worker Gloves,0.9,1.1,1.5,1.1,1.2,0.9,0.9,2.3,11,22,14,14,1.4,0.1
Arms,Xanthous Gloves,1.8,1.2,2,1.8,2.7,1.2,2.9,2.6,15,22,22,18,2,0
