Name,Effect,Weight
Fire Clutch Ring,Increase fire damage but lower fire absorbtion,0.8
Dark Clutch Ring,Increase dark damage but lower dark absorbtion,0.8
Red Tearstone Ring,Increase damage when HP becomes critical,1.4
Blue Tearstone Ring,Increase defense when HP becomes critical,1.1
Lloyd's Sword Ring,Increase damage when HP is full,0.9
Lloyd's Shield Ring,Increase defense when HP is full,0.9
Carthus Milk Ring,Increase dexterity by +3 and obscure the wearer when rolling,0.8
Carthus Blood Ring,Boosts rolling iFrames but decrease absorbtion,0.8
Pontiff's Right Eye,Boosts damage when attacking via a long string of attacks,1.4
Pontiff's Left Eye,Restores HP when attacking via a long string of attacks,0.9
Aldrich's Ruby,Restores HP when performing critical attacks,0.8
Aldrich's Sapphire,Restores FP when performing critical attacks,0.8
Silvercat Ring,Reduces fall damage to 0 on any fall that is not lethal,0.6
Slumbering Dragoncrest Ring,Movement and rolling are silent,0.7
Obscuring Ring,Obscures the wearer from sight after a certain range,0.9
Untrue Dark Ring,Make the wearer appear human,0.7
Untrue White Ring,Make the wearer appear as a phantom,0.7
Reversal Ring,Wearer changes idle animations with the opposite gender,0.5
Skull Ring,Wearer generates more aggro,0.6
Calamity Ring,Wearer takes more damage,0.8
Ring of Sacrifice,"Wearer will not lost souls or embered status with death, ring will break",1
