Type,Name,PhysAbsorb,SlashAbsorb,StrikeAbsorb,ThrustAbsorb,MagicAbsorb,FireAbsorb,LightningAbsorb,DarkAbsorb,BleedRes,PoisonRes,FrostRes,CurseRes,Weight,Poise
Helm,Lucatiel's Mask,3.9,3,3.6,2.8,4,3.8,4.8,3.8,22,26,22,24,3.3,2.1
Helm,Maiden Hood,1,1,1.2,0.9,4.6,4.3,4.4,4.6,8,16,12,31,1.4,0
Helm,Morne's Helm,5.5,5.5,5,5.3,5.4,5.2,5.1,3.8,31,17,27,17,8.1,5.1
Helm,Nameless Knight Helm,3.8,4.2,3.1,3.6,2.1,3.4,2.4,2.1,26,15,14,10,3.8,2.2
Helm,Northern Helm,4.7,4.6,4.6,4.4,2.6,4.2,1.8,2.6,24,15,26,10,4.8,3.6
Helm,Old Sage's Blindfold,0.8,0.8,0.8,0.8,4,4.4,3.8,4.2,10,14,1,28,1,0
Helm,Old Sorcerer Hat,1.5,1.3,1.3,1.5,4.9,4.3,4.5,4.9,11,15,12,28,1.2,0.6
Helm,Outrider Knight Helm,4.3,4.2,2.8,4.2,2.3,3.1,2.3,1.1,17,12,32,5,3.8,2.6
Helm,Painting Guardian Hood,1.9,1.9,1.5,1.9,4.3,1.9,2.3,1.9,25,30,15,25,1.4,0.6
Helm,Pharis's Hat,3,3,2.5,3,3.6,3.9,4.1,3.6,17,26,24,20,2.3,1.7
Helm,Pontiff Knight Crown,2.8,2.8,1.4,2.5,4.7,3.3,4.3,5,15,12,31,10,2.7,2.2
Helm,Pyromancer Crown,0.5,0.9,0.5,0.5,4.2,4.8,3.6,4,9,14,15,21,1.1,0
Helm,Ragged Mask,1.1,1.1,1.1,1.1,3.8,3.2,3.5,3.8,13,25,7,29,0.7,0.4
Helm,Sellsword Helm,3.1,3.6,3.3,3.9,2.7,2.7,2.7,2.7,27,17,16,12,3.1,3.5
Helm,Shadow Mask,2.5,1.7,2.2,2.5,2,1.5,2,1.1,15,18,20,18,1.5,0.6
Helm,Silver Knight Helm,4.8,5.1,4.5,5,4.7,4.5,4.1,4.1,24,19,17,13,6.1,4.4
Helm,Silver Mask,3.3,3.3,3.9,3.3,3.5,4.2,3.3,2.8,19,27,28,27,3.3,2.1
Helm,Smough's Helm,6.2,5.3,6.7,4.9,4.7,4.6,4.9,4.9,27,27,27,24,12.2,5
Helm,Sneering Mask,1.2,1.2,1.6,1,3.6,4.1,2.4,1.6,35,28,22,20,2.1,0.2
Helm,Sorcerer Hood,1,1,1,0.9,4.4,4,4.2,4.5,11,18,14,30,1.4,0.1
Helm,Standard Helm,3.7,3.7,3.7,3.7,3,3.3,2.4,3,22,29,27,24,3.7,2.8
Helm,Steel Soldier Helm,4.3,4.2,3.6,4.2,2.6,2.9,2,3.7,27,18,18,13,4.6,2.8
Helm,Sunless Veil,1.7,1.2,1.2,1.3,5.2,4.7,4.8,5.3,7,14,10,30,1.8,0.9
Helm,Sunset Helm,4.9,4.7,4.3,4.7,2.9,3.5,2.1,3.5,26,25,14,15,5.5,3
Helm,Symbol of Avarice,4.6,4.6,4.6,4,4.1,3.4,4.8,3.8,27,27,27,22,11,5
Helm,Thief Mask,2.2,2.2,2.5,2.2,2.2,2.5,2.8,2.2,23,26,21,17,2.1,0.9
Helm,Thrall Hood,2,1.6,1.4,1.2,4.2,3.8,4,4.2,17,28,19,38,1.5,1
Helm,Undead Legion Helm,3.8,2.6,4,3.5,4.7,4.8,4.9,4.2,19,24,29,21,4,2.6
Helm,Winged Knight Helm,5.3,5.2,4.7,5,4.2,4.8,4.5,5.4,31,29,29,18,7.4,4.1
Helm,Wolf Knight Helm,4.4,4.4,3.8,4.4,3,4.2,2.2,3.8,23,16,17,17,4.2,3
Helm,Wolnir's Crown,3.1,3.1,3.1,2.8,3.9,4.3,4.5,4.9,18,29,27,37,3.4,2.3
Helm,Worker Hat,1.9,2.2,2.7,2.2,3,2.5,2.5,4.5,16,31,20,27,2.3,1.3
Helm,Xanthous Crown,2.1,2.6,2.6,2.1,4.6,2.2,4.8,4.6,21,27,24,27,3,1
